,vendor,product_line,product,MD5,DSM,url,downloaded,exception_e
23,Synology,NAS,DS-101g+,0d08b43a1fcdbabf5c0df52bb081ade4,DSM 2.0,https://www.synology.com/en-global/support/download/DS-101g+#system,NotImplemented,
24,Synology,NAS,DS-101,synology_ixp420_1hd_0371.zip,DSM 2.0,https://www.synology.com/en-global/support/download/DS-101#system,NotImplemented,
25,Synology,NAS,DS-101j,9d2f9e32ab28281bdd15c9b171d1cd1e,DSM 2.0,https://www.synology.com/en-global/support/download/DS-101j#system,NotImplemented,
26,Synology,NAS,RS217,9d2f9e32ab28281bdd15c9b171d1cd1e,DSM 2.0,https://www.synology.com/en-global/support/download/RS217?version=7.1#system,NotImplemented,
27,Synology,NAS,RS214,833aa79aa171000f70025257b2205f3f,DSM 7.1.1,https://www.synology.com/en-global/support/download/RS214?version=7.1#system,NotImplemented,
28,Synology,NAS,RS212,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x000000010274528c chromedriver + 455308
6   chromedriver                        0x000000010277894b chromedriver + 665931
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x0000000102772685 chromedriver + 640645
9   chromedriver                        0x000000010279fe5e chromedriver + 826974
10  chromedriver                        0x00000001027b8134 chromedriver + 926004
11  chromedriver                        0x000000010279fb33 chromedriver + 826163
12  chromedriver                        0x00000001027709fd chromedriver + 633341
13  chromedriver                        0x0000000102772051 chromedriver + 639057
14  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
15  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
16  chromedriver                        0x0000000102b376df chromedriver + 4593375
17  chromedriver                        0x0000000102b308fa chromedriver + 4565242
18  chromedriver                        0x0000000102b062cf chromedriver + 4391631
19  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
20  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
21  chromedriver                        0x0000000102b6581e chromedriver + 4782110
22  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
29,Synology,NAS,DS720+,74aabe10b208a7e6c98260663e9efc2e,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS720+?version=6.2#system,NotImplemented,
30,Synology,NAS,DS718+,6c38e8a99b0bdaefd8b95b160461a26b,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS718+?version=6.2#system,NotImplemented,
31,Synology,NAS,DS716+II,62040b1f54454bdd32fc3b296d536435,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS716+II?version=6.2#system,NotImplemented,
32,Synology,NAS,DS716+,de8ffeae6e5211d31d48979ce4040a50,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS716+?version=6.2#system,NotImplemented,
33,Synology,NAS,DS715,8b56b8d1392e5baf0a7314cbab347bfe,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS715?version=6.2#system,NotImplemented,
34,Synology,NAS,DS713+,6353a6b22b6cdefe2a57adadd0a04aad,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS713+?version=6.2#system,NotImplemented,
35,Synology,NAS,DS712+,6353a6b22b6cdefe2a57adadd0a04aad,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS712+?version=6.2#system,NotImplemented,
